recipename,instructions,cuisine,course_type,dietary_preference
Bully Beef Recipe,"[""Heat oil in heavy skillet over moderate heat."", ""Add in onions, garlic and minced scotch bonnet; sauta till onions are translucent/soft."", ""Add in corned beef and thyme."", ""Reduce heat to medium-low and cook, stirring occasionally till thoroughly heated."", ""Add in green onions and minced tomato; cook two min more."", ""I love to serve them topped with fried or possibly poached Large eggs.""]",caribbean,main,omnivorous
Mom's Meatloaf,"[""Preheat oven to 350."", ""Mix all of the ingredients--excluding the ingredients for sauce--and mix in large bowl."", ""Pour the mixed ingredients into a large oven-proof pan."", ""Mix ketchup, apple cider vinegar, and brown sugar together for sauce."", ""Pour sauce over the meatloaf."", ""Bake for 1 hour at 350.""]",american,main,omnivorous
Fresh Tomato Sauce With Tarragon ,"[""Place tomatoes and garlic in a blender and process until smooth. With blender running, slowly add the olive oil. Add tarragon, salt, pepper and vinegar to taste.""]",italian,side,vegan
Rock Candy,"[""Stir sugar, corn syrup and water over low heat until dissolved."", ""Cook without stirring over high heat to the hard crack stage, 310\u00b0."", ""Remove from heat."", ""Add coloring and flavoring if desired (1 teaspoon vanilla, 1 1/2 teaspoons peppermint extract, 1/2 teaspoon almond extract or a few drops of oil of cinnamon). Pour the mixture onto a greased cookie sheet or shallow pan."", ""When cold, break into pieces."", ""Makes about 1 sheet pan.""]",american,dessert,vegan
Barbecued Ribs,"[""Cut ribs 2 bones to each piece."", ""Salt, pepper and paprika each piece."", ""Broil 7 minutes one side."", ""Repeat seasonings on other side and broil 5 minutes."", ""Mix sauce ingredients first in deep roasting pan."", ""After broiling rib pieces, immerse in sauce."", ""Cover and bake 2 hours."", ""Bake potatoes along with ribs."", ""Serve with tossed salad. Bake at 350\u00b0."", ""Recipe may be doubled if you need more.""]",american,main,omnivorous
Pan Sausage,"[""Mix all ingredients well. Freeze in 1 pound packages.""]",american,main,omnivorous
Basic Butter Cookies With Four Flavor Variations,"[""Beat the butter and sifted powdered sugar in a large bowl with an electric mixer until light and fluffy. Stir in the flour, in 2 batches."", ""Knead the dough on lightly floured surface until smooth. Divide the dough in half. Roll each half into a 10-inch log. Wrap in plastic wrap and refrigerate for about 1 hour or until firm."", ""Preheat the oven to 350\u00b0F. Grease 2 baking pans and line with parchment paper."", ""Using a sharp knife, cut the logs into 1/4 inch-thick slices. Place 2 inches apart on prepared pans."", ""Bake for about 10 mins or until lightly browned. Cool in pan 2 mins. Remove from pan; cool completely on wire rack."", ""For the chocolate and hazelnut variation, beat the cocoa powder into the butter and sugar mixture. Stir in the hazelnuts and finely chopped chocolate before adding the flour. Continue as directed."", ""For the dried cranberry variation, stir the dried cranberries into the butter and sugar mixture. Continue as directed."", ""For the vanilla variation, beat vanilla extract into the butter and sugar mixture. Continue as directed."", ""For the lemon variation, beat the finely grated lemon peel into the butter and sugar mixture. Continue as directed."", ""For the orange variation, beat the finely grated orange peel into the butter and sugar mixture. Continue as directed.""]",american,dessert,omnivorous
Sunday Brunch: Pineapple Upside-Down Cake Recipe,"[""Butter 8x8 Pyrex dish and arrange pineapple slices in an overlapping circle (or as close as you can manage it). In small sauce pan melt butter, then add brown sugar and cook until sugar has dissolved, about 4 minutes. Pour sugar mixture over pineapple and reserve."", ""Preheat oven to 350\u00b0F."", ""Whisk flour, baking powder and salt together in a bowl and reserve. In a standing mixer combine butter and sugar and beat until light and soft. Add vanilla, crown royal, and pineapple juice to butter mixture and beat until combined. With mixer running on low, add flour mixture a spoonful at a time until everything is added and a batter forms."", ""Spoon batter over pineapple and smooth with spatula. Bake until golden brown and a toothpick inserted in center comes out clean, about 45 minutes. Serve with more sliced pineapple and strong black coffee.""]",american,dessert,vegetarian
Beef And Rice Casserole,"[""Heat oven."", ""Cook rice, meanwhile, in oleo in skillet."", ""Saute celery and onions until tender; grease casserole."", ""Place rice at bottom; top with celery mixture."", ""Season chuck."", ""Brown in skillet, then arrange on top of celery."", ""Combine soup with water."", ""Pour over chuck."", ""Bake 1 hour in a 350\u00b0 oven.""]",american,main,omnivorous
Quiche - Master Recipe,"[""Preheat oven to 375."", ""Fill parbaked shells and bake until set."", ""Any filling you wish to use."", ""Serve warm or at room temperature.""]",french,main,vegetarian
Rice Pudding,"[""Place rice in a strainer and pour the boiling water over rice. Drain well. Steep 1 hour or until all is thick and creamy. Stir in butter, sugar, almond extract, nutmeg and almonds. Serve warm or chilled with whipped cream.""]",american,dessert,vegan
Fluffy White Frosting,"[""Cook sugar and syrup in medium pan, stirring constantly until a rolling boil."", ""Beat egg whites until stiff."", ""Pour syrup over egg whites a little at a time."", ""Continue beating."", ""This recipe will cover an 8 or 9-inch cake.""]",american,dessert,vegetarian
Relatively Painless Barbecue Stuffing Meat Bake,"[""Take a 13 1/2 x 10 1/2 baking pan or cake pan (no stick), spray liberally with a no stick butter spray. Spread the contents of stuffing mix evenly in the baking pan, including spice packet if there is one. Take barbecue sauce, add water and mix. Roughly 1/3 water to 2/3 barbecue sauce. Pour mixture evenly on stuffing mix. Let it set and soak in a while if you have time. If you don't, it will work anyway. Take chicken legs, chicken breasts, boneless pork chops or steak, venison chops or try one of your own. Lay them on the mixture in the baking pan and coat them with barbecue sauce. Use as many as will fit or as few as you want. Use as little or as much barbecue sauce as you want. Put in a 350\u00b0 preheated oven and bake for 50 to 75 minutes. If you are in a hurry, increase temperature and cut time. If you have lots of time, cut temperature to 300\u00b0 to 325\u00b0 and bake for 2 hours. When baked to your liking, take out and enjoy.""]",american,main,omnivorous
Ruth's Soda Bread,"[""Sift the flour, baking powder, baking soda, salt, and sugar into a large bowl."", ""Add the caraway seeds and raisins."", ""Working with your fingers, rub the shortening into the flour mixture."", ""Or with two knives, cut it into the flour until it makes a coarse mealy mixture."", ""Add the egg and buttermilk and stir until you have formed a soft dough."", ""Flour a board and turn the batter out onto it."", ""Knead the dough lightly for one minute."", ""Form a round loaf and make a shallow cross in the center."", ""Place the dough in a well-floured 2-quart mold and cover loosely with a plate."", ""Cover the cooker and bake on High for about 2 hours, or until the bread is crusty on top and a toothpick inserted in the center comes out clean.""]",irish,side,vegetarian
Crunchy Curry Fish,"[""Heat over to 200 degrees.Place an ovenproof platter in it."", ""Toss fish with vinegar.Combine salt,pepper,tumeric,curry powder,and cayenne pepper in a small bowl,then rub mixture onto both sides of each fillet."", ""Pour at least 1/8 inch oil into a large nonstick skillet;turn heat to medium-high."", ""Combine flour with enough warm water to make a batter about as thick as yogurt."", ""Test oil to see if its hot enough (a pinch of flour will sizzle in it) turn heat to high."", ""Dunk fillets into batter one at a time,letting excess batter run off,then place fish in pan (don't overcrowd it)."", ""Fry fish,rotating as necessary so fillets brown easily."", ""Remove fish when golden and crisp on each side (5 to 8 minutes) keep warm on platter in oven while you cook remaining fillets."", ""sprinkle cilantro over fish,serve with lime wedges.""]",indian,main,omnivorous
"Carrot, Apple & Celery Soup","[""Place the carrots, onion and celery in a lare pan and add the vegetable stock."", ""Bring to a boil, reduce heat, cover, and let simmer for 10 minutes."", ""Meanwhile, peel, core, and dice 2 of the apples."", ""Add the diced apples, tomato paste, bay leaf, and sugar to the pan and bring to a boil over medium heat."", ""Reduce the heat, partially cover the pan, and let simmer for 20 minutes."", ""Remove and discard the bay leaf."", ""Meanwhile, wash, core, and cut the remaining apple into thin slices, without peeling."", ""Place the apple slices in a small pan and squeeze the lemon juice over apple slices."", ""Heat the apple slices gently and let simmer for 1-2 minutes, or until the apple is tender."", ""Drain the apple slices and set aside until required."", ""Place the carrot and apple mixture in a blender or food processor until smooth."", ""Gently reheat the soup if necessary and season to taste with salt and pepper."", ""Ladle the soup into 4 warmed bowls, top with the reserved apple slices and shredded celery leaves."", ""Serve immediately.""]",various european,main,vegan
Four Layer Pie,"[""Melt oleo; add flour and pecans."", ""Spread in 10-inch pie plate. Bake at 350\u00b0 until brown."", ""Cool.""]",american,dessert,vegetarian
Asparagus With Maple Mustard Sauce,"[""Start by mixing the sauce ingredients until well blended and place in the refrigerator. That will allow the garlic oils to infuse the mixture."", ""Preheat a large cast iron skillet to medium high and allow the pan to become very hot."", ""Meanwhile, remove the tough bases of the asparagus, if necessary, then toss in the olive oil, salt and cracked pepper until all the spears are well coated. Cook the asparagus in the hot skillet, spreading them in a single layer, if possible."", ""Leave the spears on one side long enough so that they develop a slight sear, then toss to sear the other side. Cook to preferred tenderness. Remove from flame and serve hot drizzled with the maple mustard sauce.""]",american,side,vegetarian
Cherry Cheesecake,"[""Beat dry cake mix, butter and 1 egg in large bowl at low speed until crumbly. Press lightly in ungreased 9 x 13-inch pan. Beat 2 eggs, 3/4 cup sugar, 2 teaspoons vanilla and cream cheese until smooth and fluffy. Spread over crumb mixture. Bake at 350\u00b0 for 20 to 25 minutes, until set.""]",american,dessert,omnivorous
Heavenly Carrots,"[""Place carrots in buttered 1 1/2-quart casserole."", ""Stir in croutons and cheese."", ""Mix other ingredients and pour over carrot mixture."", ""Bake, uncovered, at 400\u00b0 for 20 minutes.""]",american,side,vegetarian
Mouth-Watering Meatloaf,"[""Preheat oven to 350 degrees."", ""Line roasting pan with aluminum foil; set aside."", ""In large bowl whisk eggs with 1 teaspoons."", ""mustard, 3/4 teaspoons."", ""salt and 1/4 teaspoons."", ""pepper until blended."", ""Stir in milk and bread crumbs."", ""Let stand 5 minutes."", ""Add ground beef, onion, celery, and parsley."", ""With hands, mix lightly until well blended."", ""Turn meat into prepared pan."", ""Moisten hands with water, shape into 8x5 inch loaf."", ""Bake 1 hour and 15 minutes."", ""In small bowl mix glaze ingredients until blended."", ""Spread over top of meat loaf."", ""Bake 15 minutes longer."", ""Cut cheese in half crosswise into triangle."", ""Arrange over top of glaze."", ""Serve with roasted potatoes.""]",american,main,omnivorous
